1,Outcome,Mental state,Not specified,Anxiety,,Psychiatrist,The NIMH global anxiety scale,NIHA
2,Outcome,Mental state,Not specified,Anxiety,,Self,The activity attitudes survey ,ACT/AAS
3,Outcome,Mental state,Not specified,Anxiety,,Self,The avoidance questionnaire ,AQ
4,Outcome,Mental state,Not specified,Anxiety,,Self,The anxious thoughts inventory ,ATI/ANTI
5,Outcome,Mental state,Not specified,Anxiety,,Psychiatrist,Beaumont's analogue anxiety scale ,BAAS
6,Outcome,Mental state,Not specified,Anxiety,,Self,The insight in problems scale ,IPS
8,Participants,Diagnosis,Not specified,'Axis I' disorders,,,The Beth Israel hospital questionnaire,BIHQ
9,Participants,Diagnosis,Not specified,'Axis I' disorders,,,The composite international diagnostic interview,CIDI
10,Participants,Diagnosis,Not specified,'Axis I' disorders,,,The comprehensive assessment of symptoms and history,CASH
11,Participants,Diagnosis,Not specified,'Axis I' disorders,,,The diagnostic interview schedule,DIS/QDIS
12,Participants,Diagnosis,Not specified,'Axis I' disorders,,,The life chart interview,LCI
13,Participants,Diagnosis,Not specified,'Axis I' disorders,,,The Millon clinical multiaxial inventory,MCMI
14,Participants,Diagnosis,Not specified,'Axis I' disorders,,,The MINI international neuropsychiatric interview for DSM IV and ICD 10,MINI
15,Participants,Diagnosis,Not specified,'Axis I' disorders,,,The Munich diagnostic checklists or International Diagnostic Checklists,MDCL/MDC/IDC/IDCL
16,Participants,Diagnosis,Not specified,'Axis I' disorders,,,The symptoms driven diagnostic system for primary care physicians,SDDS
17,Participants,Diagnosis,Not specified,'Axis I' disorders,,,The schedule for affective disorders and schizophrenia,SADS
18,Participants,Diagnosis,Not specified,'Axis I' disorders,,,The clinical interview schedule or standardised psychiatric interview,CIS/SPI
19,Participants,Diagnosis,Not specified,'Axis I' disorders,,,Primary Care Evaluation of Mental Disorders,PRIME/PRIMEMD
20,Participants,Diagnosis,Not specified,'Axis I' disorders,,,The structured clinical interview for DSM III/IV,SCID
21,Participants,Diagnosis,Not specified,'Axis I' disorders,,,The structured clinical assessment in neuropsychiatry,SCAN/SCAN-R
22,Participants,Diagnosis,Not specified,'Axis I' disorders,,,The present state examination,PSE
23,Participants,Diagnosis,Not specified,'Axis I' disorders,,,The sensation seeking scale,SSS
